City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Vaini,-21.2,-175.2,78.8,94,40,1.14,TO,2021-04-23 07:45:32
67,Belaya Gora,68.5333,146.4167,19.94,84,94,6.62,RU,2021-04-23 07:45:32
68,Kapaa,22.0752,-159.319,73.4,78,75,11.5,US,2021-04-23 07:45:16
69,Matara,5.9485,80.5353,87.04,64,25,12.33,LK,2021-04-23 07:45:33
70,Luganville,-15.5333,167.1667,81.63,78,96,5.32,VU,2021-04-23 07:45:33
71,Laguna,38.421,-121.4238,50.0,81,1,9.22,US,2021-04-23 07:45:33
72,Poronaysk,49.2167,143.1167,48.29,69,100,5.99,RU,2021-04-23 07:45:34
73,Floro,61.5996,5.0328,39.2,81,40,4.61,NO,2021-04-23 07:45:34
74,Kathu,7.9178,98.3332,87.01,79,75,11.5,TH,2021-04-23 07:45:35
75,Atuona,-9.8,-139.0333,80.35,81,48,23.22,PF,2021-04-23 07:45:35
76,Norman Wells,65.282,-126.8329,21.2,73,40,4.61,CA,2021-04-23 07:45:36
77,Pasighat,28.0667,95.3333,91.36,33,2,3.96,IN,2021-04-23 07:45:36
78,Derzhavinsk,51.1,66.3167,50.59,26,100,16.2,KZ,2021-04-23 07:45:37
79,Fare,-16.7,-151.0167,80.08,76,13,14.27,PF,2021-04-23 07:45:37
80,Chokurdakh,70.6333,147.9167,3.52,95,14,3.89,RU,2021-04-23 07:45:38
81,Severo-Kurilsk,50.6789,156.125,34.75,92,100,1.03,RU,2021-04-23 07:45:38
82,Natchitoches,31.7668,-93.1335,59.0,72,90,4.61,US,2021-04-23 07:45:39
83,Altay,47.8667,88.1167,36.93,36,95,10.02,CN,2021-04-23 07:45:39
84,Deputatskiy,69.3,139.9,10.8,91,57,2.93,RU,2021-04-23 07:45:39
85,Souillac,-20.5167,57.5167,78.8,83,75,5.75,MU,2021-04-23 07:45:40
86,Shimanovsk,52.0,127.7,45.03,19,100,14.03,RU,2021-04-23 07:42:02
87,Shiyan,32.6475,110.7781,59.0,25,100,7.05,CN,2021-04-23 07:45:40
88,Uspenka,48.3903,39.1619,60.28,53,8,11.14,UA,2021-04-23 07:45:41
89,Mankono,8.0586,-6.1897,76.96,73,96,3.71,CI,2021-04-23 07:45:41
90,Hasaki,35.7333,140.8333,64.0,47,0,11.5,JP,2021-04-23 07:45:42
91,Hithadhoo,-0.6,73.0833,83.32,71,31,6.64,MV,2021-04-23 07:41:50
92,Mazagao,-0.115,-51.2894,75.2,100,75,1.14,BR,2021-04-23 07:45:42
93,Piste,20.7,-88.5833,69.26,97,100,3.04,MX,2021-04-23 07:45:43
94,Kyren,51.6828,102.1408,34.93,68,100,4.05,RU,2021-04-23 07:45:43
95,Coquimbo,-29.9533,-71.3436,59.0,82,90,8.05,CL,2021-04-23 07:43:16
